Date,Utilization of Refinery in %,Production,Demand,Gap,Contract 1 FP,Contract 2 FP,Contract 3 FP,Contract 4 FP,Global Sale (in millions),Seasonal Demand,REIF,Last Day's Price,Price
2016-12-15,91.5,4516.18,4334.96,181.22,50.9,51.97,52.91,53.62,0.905,2,0.1,50.9,50.9
2016-12-16,91.5,4515.22,4341.639,173.581,51.9,52.95,53.87,54.56,0.948,2,0.2,50.9,51.9
2016-12-19,91.4,4514.26,4348.318,165.942,52.12,53.06,53.9,54.55,0.992,2,0.5,51.9,52.12
2016-12-20,91.3,4513.3,4354.997,158.303,52.23,53.3,54.19,54.9,1.035,2,0.1,52.12,52.23
2016-12-21,91.2,4512.34,4361.676,150.664,52.49,53.38,54.1,54.66,1.079,2,0.4,52.23,52.49
2016-12-22,91.1,4511.38,4368.355,143.025,52.95,53.86,54.61,55.2,1.122,2,0.2,52.49,52.95
2016-12-23,91.0,4510.42,4375.035,135.385,53.02,53.92,54.65,55.24,1.166,2,0.4,52.95,53.02
2016-12-27,91.25,4509.46,4381.714,127.746,53.9,54.79,55.51,56.06,1.209,2,0.1,53.02,53.9
2016-12-28,91.5,4508.5,4388.393,120.107,54.06,54.95,55.67,56.25,1.253,2,0.5,53.9,54.06
2016-12-29,91.75,4507.54,4395.072,112.468,53.77,54.72,55.49,56.11,1.296,2,0.2,54.06,53.77
2016-12-30,92.0,4506.58,4401.751,104.829,53.72,54.66,55.43,56.05,1.34,2,0.2,53.77,53.72
2017-01-01,92.32,4505.62,4408.43,97.19,53.025,53.975,54.775,55.43,1.383,2,0.5,53.745,53.025
2017-01-03,92.64,4506.069,4408.508,97.561,52.33,53.29,54.12,54.81,1.387,2,0.1,53.72,52.33
2017-01-04,92.96,4506.519,4408.587,97.932,53.26,54.22,55.05,55.75,1.39,2,0.1,52.33,53.26
2017-01-05,93.28,4506.968,4408.665,98.303,53.76,54.68,55.49,56.17,1.394,2,0.3,53.26,53.76
2017-01-06,93.6,4507.418,4408.744,98.674,53.99,54.87,55.68,56.37,1.397,2,0.3,53.76,53.99
2017-01-09,93.02,4507.867,4408.822,99.045,51.96,52.87,53.72,54.47,1.401,2,0.3,53.99,51.96
2017-01-10,92.44,4508.316,4408.9,99.416,50.82,51.7,52.53,53.28,1.405,2,0.2,51.96,50.82
2017-01-11,91.86,4508.766,4408.979,99.787,52.25,53.06,53.87,54.59,1.408,2,0.3,50.82,52.25
2017-01-12,91.28,4509.215,4409.057,100.158,53.01,53.84,54.65,55.39,1.412,2,0.1,52.25,53.01
2017-01-13,90.7,4509.665,4409.135,100.529,52.37,53.15,53.95,54.68,1.415,2,0.2,53.01,52.37
2017-01-17,90.1,4510.114,4409.214,100.9,52.48,53.26,54.03,54.75,1.419,2,0.3,52.37,52.48
2017-01-18,89.5,4510.563,4409.292,101.271,51.08,51.89,52.66,53.37,1.422,2,0.1,52.48,51.08
2017-01-19,88.9,4511.013,4409.371,101.642,51.37,52.12,52.84,53.5,1.426,2,0.2,51.08,51.37
2017-01-20,88.3,4511.462,4409.449,102.013,52.42,53.22,53.96,54.62,1.43,2,0.3,51.37,52.42
2017-01-23,88.28,4511.912,4409.527,102.384,52.75,53.5,54.17,54.71,1.433,2,0.2,52.42,52.75
2017-01-24,88.26,4512.361,4409.606,102.755,53.18,53.86,54.46,54.96,1.437,2,0.5,52.75,53.18
2017-01-25,88.24,4512.811,4409.684,103.126,52.75,53.39,53.95,54.43,1.44,2,0.4,53.18,52.75
2017-01-26,88.22,4513.26,4409.762,103.497,53.78,54.38,54.9,55.34,1.444,2,0.5,52.75,53.78
2017-01-27,88.2,4513.709,4409.841,103.868,53.17,53.75,54.25,54.67,1.448,2,0.5,53.78,53.17
2017-01-30,88.1,4514.159,4409.919,104.24,52.63,53.24,53.78,54.24,1.451,2,0.4,53.17,52.63
2017-01-31,88.0,4514.608,4409.998,104.611,52.81,53.42,53.94,54.38,1.455,2,0.3,52.63,52.81
2017-02-01,87.9,4515.058,4410.076,104.982,53.88,54.49,54.99,55.41,1.458,2,0.2,52.81,53.88
2017-02-02,87.8,4515.507,4410.154,105.353,53.54,54.17,54.67,55.09,1.462,2,0.5,53.88,53.54
2017-02-03,87.7,4515.956,4410.233,105.724,53.83,54.47,54.99,55.41,1.465,2,0.3,53.54,53.83
2017-02-06,87.24,4516.406,4410.311,106.095,53.01,53.63,54.16,54.6,1.469,2,0.2,53.83,53.01
2017-02-07,86.78,4516.855,4410.389,106.466,52.17,52.78,53.3,53.72,1.473,2,0.5,53.01,52.17
2017-02-08,86.32,4517.305,4410.468,106.837,52.34,52.91,53.37,53.76,1.476,2,0.2,52.17,52.34
2017-02-09,85.86,4517.754,4410.546,107.208,53.0,53.46,53.88,54.25,1.48,2,0.1,52.34,53.0
2017-02-10,85.4,4518.203,4410.625,107.579,53.86,54.33,54.78,55.18,1.483,2,0.3,53.0,53.86
2017-02-13,85.18,4518.653,4410.703,107.95,52.93,53.43,53.86,54.25,1.487,2,0.2,53.86,52.93
2017-02-14,84.96,4519.102,4410.781,108.321,53.2,53.71,54.12,54.48,1.491,2,0.1,52.93,53.2
2017-02-15,84.74,4519.552,4410.86,108.692,53.11,53.6,53.99,54.31,1.494,2,0.5,53.2,53.11
2017-02-16,84.52,4520.001,4410.938,109.063,53.36,53.75,54.07,54.33,1.498,2,0.1,53.11,53.36
2017-02-17,84.3,4520.45,4411.017,109.434,53.4,53.78,54.12,54.37,1.501,2,0.2,53.36,53.4
2017-02-21,84.725,4520.9,4411.095,109.805,54.06,54.33,54.61,54.81,1.505,2,0.5,53.4,54.06
2017-02-22,85.15,4521.349,4411.173,110.176,53.59,53.93,54.17,54.37,1.508,2,0.2,54.06,53.59
2017-02-23,85.575,4521.799,4411.252,110.547,54.45,54.76,54.96,55.13,1.512,2,0.3,53.59,54.45
2017-02-24,86.0,4522.248,4411.33,110.918,53.99,54.32,54.56,54.76,1.516,2,0.5,54.45,53.99
2017-02-27,85.98,4522.697,4411.408,111.289,54.05,54.42,54.69,54.9,1.519,2,0.4,53.99,54.05
2017-02-28,85.96,4523.147,4411.487,111.66,54.01,54.43,54.75,55.0,1.523,2,0.1,54.05,54.01
2017-03-01,85.94,4523.596,4411.565,112.031,53.83,54.28,54.61,54.87,1.526,2,0.3,54.01,53.83
2017-03-02,85.92,4524.046,4411.644,112.402,52.61,53.07,53.41,53.69,1.53,2,0.4,53.83,52.61
2017-03-03,85.9,4524.495,4411.722,112.773,53.33,53.78,54.12,54.39,1.534,2,0.3,52.61,53.33
2017-03-06,85.74,4524.945,4411.8,113.144,53.2,53.71,54.11,54.42,1.537,2,0.1,53.33,53.2
2017-03-07,85.58,4525.394,4411.879,113.515,53.14,53.64,54.02,54.32,1.541,2,0.2,53.2,53.14
2017-03-08,85.42,4525.843,4411.957,113.886,50.28,50.83,51.24,51.57,1.544,2,0.1,53.14,50.28
2017-03-09,85.26,4526.293,4412.035,114.257,49.28,49.83,50.25,50.59,1.548,2,0.3,50.28,49.28
2017-03-10,85.1,4526.742,4412.114,114.628,48.49,49.03,49.45,49.77,1.551,2,0.5,49.28,48.49
2017-03-13,85.56,4527.192,4412.192,114.999,48.4,48.94,49.37,49.7,1.555,2,0.1,48.49,48.4
